"filename", "language", "Dart", "comment", "blank", "total"
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/auth/screens/login_screen.dart", "Dart", 19, 0, 5, 24
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/common/components/buttons/fill_button.dart", "Dart", 146, 0, 14, 160
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/common/routes/router.dart", "Dart", 26, 0, 3, 29
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/common/services/dio_service.dart", "Dart", 24, 0, 7, 31
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/common/services/env_service.dart", "Dart", 20, 4, 9, 33
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/common/services/logger_service.dart", "Dart", 96, 0, 15, 111
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/common/services/shared_prefs_service.dart", "Dart", 35, 0, 10, 45
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/common/services/theme_service.dart", "Dart", 34, 0, 8, 42
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/common/services/toast_service.dart", "Dart", 10, 0, 4, 14
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/common/services/url_launcher_service.dart", "Dart", 64, 3, 9, 76
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/common/theme/default_theme.dart", "Dart", 112, 20, 26, 158
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/intro/screens/intro_screen.dart", "Dart", 117, 0, 11, 128
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/intro/screens/splash_screen.dart", "Dart", 37, 0, 7, 44
"/home/pouya/Develop/codes/Flutter/imdb_clone/lib/main.dart", "Dart", 48, 0, 8, 56
"Total", "-", 788, 27, 136, 951